from,to,day_of_week,count
2585297,2585285,Friday,76
2585346,2585351,Friday,76
2585373,2586026,Friday,76
2585699,2585450,Friday,76
2585770,2585711,Friday,76
2585830,2585838,Friday,76
2585838,2585830,Friday,76
3110680,2586011,Friday,76
3470029,2585974,Friday,76
8746360,2585837,Friday,76
44583483,2585273,Friday,76
2585283,2681601,Friday,75
2585346,2585269,Friday,75
2585358,2585380,Friday,75
2585368,2585317,Friday,75
2585408,2585317,Friday,75
2585430,2585327,Friday,75
2585466,4393742,Friday,75
2585728,2585762,Friday,75
2585747,2585708,Friday,75
2585837,8746360,Friday,75
2585844,2585846,Friday,75
2585850,2585839,Friday,75
2585905,2585901,Friday,75
2585920,2585926,Friday,75
2585968,2585466,Friday,75
2585978,2586042,Friday,75
2585996,2585994,Friday,75
2586001,2585431,Friday,75
2586001,2586011,Friday,75
2586022,2586018,Friday,75
2586022,2586024,Friday,75
4393742,2585466,Friday,75
2585267,2585275,Friday,74
2585291,2585297,Friday,74
2585307,2585291,Friday,74
2585311,2585308,Friday,74
2585315,2585346,Friday,74
2585446,2585263,Friday,74
2585446,2585267,Friday,74
2585453,2585712,Friday,74
2585466,2585960,Friday,74
2585788,2585779,Friday,74
2585794,4585378,Friday,74
2585802,2585432,Friday,74
2585863,2585868,Friday,74
2585919,2585380,Friday,74
2585921,2585748,Friday,74
2585931,44581598,Friday,74
2585997,2585994,Friday,74
2586031,2585972,Friday,74
2586034,2586045,Friday,74
2586037,2586044,Friday,74
2586042,2586037,Friday,74
2586044,2586037,Friday,74
2681672,2585387,Friday,74
4215025,2585289,Friday,74
4585378,2585799,Friday,74
44581598,2585301,Friday,74
2585313,2585281,Friday,73
2585317,2585387,Friday,73
2585337,2585369,Friday,73
2585358,2585919,Friday,73
2585394,2585381,Friday,73
2585467,2585779,Friday,73
2585714,2585724,Friday,73
2585728,2585467,Friday,73
2585762,2585779,Friday,73
2585788,2585789,Friday,73
2585804,2585748,Friday,73
2585837,2585785,Friday,73
2585848,2585846,Friday,73
2585899,2585876,Friday,73
2585905,2585875,Friday,73
2585932,2585936,Friday,73
2586021,2586044,Friday,73
2586034,2586026,Friday,73
4393742,2586018,Friday,73
2585263,2585926,Friday,72
2585284,2681601,Friday,72
2585286,2585305,Friday,72
2585301,44581598,Friday,72
2585305,2681601,Friday,72
2585317,2585417,Friday,72
2585352,2681601,Friday,72
2585387,2681672,Friday,72
2585724,2585714,Friday,72
2585789,2585728,Friday,72
2585811,2585432,Friday,72
